LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
AR: FORT SMITH,01/01/2015 00:16:00,,2277.00,1439.00,387.00,213.00,129.00,149.00,101.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 01:17:00,,2283.00,1448.00,383.00,212.00,133.00,152.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/01/2015 02:17:00,,2289.00,1452.00,387.00,211.00,130.00,149.00,99.00,31.00,APPROVED
AR: FORT SMITH,01/01/2015 03:17:00,,2290.00,1442.00,387.00,216.00,131.00,150.00,99.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 04:17:00,,2288.00,1444.00,387.00,210.00,131.00,148.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/01/2015 05:18:00,,2284.00,1444.00,384.00,216.00,131.00,145.00,102.00,32.00,APPROVED
AR: FORT SMITH,01/01/2015 06:18:00,,2297.00,1449.00,394.00,213.00,134.00,149.00,99.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 07:18:00,,2294.00,1450.00,385.00,216.00,133.00,149.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/01/2015 08:18:00,,2293.00,1458.00,387.00,218.00,134.00,148.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 09:18:00,,2307.00,1459.00,396.00,219.00,133.00,151.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 10:19:00,,2302.00,1455.00,385.00,215.00,134.00,152.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/01/2015 11:19:00,,2308.00,1468.00,389.00,220.00,134.00,150.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 12:19:00,,2303.00,1470.00,394.00,218.00,135.00,153.00,103.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 13:19:00,,2317.00,1476.00,392.00,222.00,134.00,154.00,104.00,34.00,APPROVED
AR: FORT SMITH,01/01/2015 14:19:00,,2310.00,1485.00,394.00,222.00,136.00,150.00,103.00,32.00,APPROVED
AR: FORT SMITH,01/01/2015 15:20:00,,2304.00,1474.00,396.00,219.00,135.00,155.00,101.00,34.00,APPROVED
AR: FORT SMITH,01/01/2015 16:20:00,,2286.00,1452.00,386.00,215.00,132.00,153.00,102.00,32.00,APPROVED
AR: FORT SMITH,01/01/2015 17:20:00,,2274.00,1455.00,388.00,213.00,132.00,152.00,100.00,31.00,APPROVED
AR: FORT SMITH,01/01/2015 18:20:00,,2308.00,1465.00,395.00,217.00,137.00,153.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/01/2015 19:20:00,,2404.00,1550.00,416.00,235.00,142.00,163.00,103.00,35.00,APPROVED
AR: FORT SMITH,01/01/2015 20:21:00,,2414.00,1542.00,417.00,238.00,138.00,163.00,108.00,34.00,APPROVED
AR: FORT SMITH,01/01/2015 21:21:00,,2410.00,1554.00,417.00,239.00,139.00,163.00,108.00,34.00,APPROVED
AR: FORT SMITH,01/01/2015 22:21:00,,2435.00,1582.00,423.00,239.00,142.00,163.00,107.00,34.00,APPROVED
AR: FORT SMITH,01/01/2015 23:21:00,,2380.00,1529.00,408.00,233.00,139.00,159.00,104.00,34.00,APPROVED
AR: FORT SMITH,01/02/2015 00:21:00,,2312.00,1479.00,393.00,221.00,135.00,155.00,101.00,32.00,APPROVED
AR: FORT SMITH,01/02/2015 01:22:00,,2329.00,1487.00,402.00,227.00,135.00,155.00,101.00,33.00,APPROVED
AR: FORT SMITH,01/02/2015 02:22:00,,2339.00,1492.00,400.00,226.00,134.00,157.00,102.00,33.00,APPROVED
AR: FORT SMITH,01/02/2015 03:22:00,,2332.00,1490.00,406.00,229.00,135.00,156.00,100.00,34.00,APPROVED
AR: FORT SMITH,01/02/2015 04:22:00,,2320.00,1490.00,399.00,227.00,137.00,158.00,102.00,34.00,APPROVED
AR: FORT SMITH,01/02/2015 05:22:00,,2310.00,1490.00,405.00,229.00,138.00,155.00,104.00,34.00,APPROVED
AR: FORT SMITH,01/02/2015 06:23:00,,2346.00,1518.00,405.00,233.00,139.00,159.00,104.00,33.00,APPROVED
AR: FORT SMITH,01/02/2015 07:23:00,,2368.00,1544.00,410.00,241.00,139.00,165.00,106.00,35.00,APPROVED
AR: FORT SMITH,01/02/2015 08:23:00,,2371.00,1561.00,418.00,239.00,143.00,165.00,103.00,35.00,APPROVED
AR: FORT SMITH,01/02/2015 09:23:00,,2455.00,1615.00,422.00,248.00,142.00,167.00,109.00,35.00,APPROVED
AR: FORT SMITH,01/02/2015 10:23:00,,2568.00,1707.00,447.00,264.00,149.00,178.00,113.00,36.00,APPROVED
AR: FORT SMITH,01/02/2015 11:24:00,,2598.00,1749.00,461.00,275.00,154.00,183.00,115.00,37.00,APPROVED
AR: FORT SMITH,01/02/2015 12:24:00,,2546.00,1704.00,450.00,267.00,151.00,182.00,113.00,37.00,APPROVED
AR: FORT SMITH,01/02/2015 13:24:00,,2505.00,1658.00,445.00,260.00,148.00,177.00,114.00,36.00,APPROVED
AR: FORT SMITH,01/02/2015 14:24:00,,2402.00,1582.00,421.00,246.00,141.00,166.00,109.00,34.00,APPROVED
AR: FORT SMITH,01/02/2015 15:25:00,,2359.00,1528.00,413.00,236.00,138.00,164.00,106.00,33.00,APPROVED
AR: FORT SMITH,01/02/2015 16:25:00,,2371.00,1547.00,416.00,242.00,141.00,166.00,106.00,35.00,APPROVED
AR: FORT SMITH,01/02/2015 17:25:00,,2321.00,1506.00,413.00,232.00,137.00,162.00,105.00,35.00,APPROVED
AR: FORT SMITH,01/02/2015 18:25:00,,2354.00,1511.00,412.00,232.00,136.00,161.00,104.00,34.00,APPROVED
AR: FORT SMITH,01/02/2015 19:25:00,,2471.00,1634.00,434.00,248.00,144.00,169.00,106.00,35.00,APPROVED
AR: FORT SMITH,01/02/2015 20:26:00,,2545.00,1685.00,445.00,255.00,148.00,176.00,112.00,35.00,APPROVED
AR: FORT SMITH,01/02/2015 21:26:00,,2443.00,1601.00,430.00,242.00,143.00,168.00,108.00,33.00,APPROVED
AR: FORT SMITH,01/02/2015 22:26:00,,2443.00,1595.00,431.00,241.00,142.00,167.00,107.00,33.00,APPROVED
AR: FORT SMITH,01/02/2015 23:26:00,,2387.00,1549.00,417.00,235.00,141.00,165.00,106.00,34.00,APPROVED
AR: FORT SMITH,01/03/2015 00:26:00,,2411.00,1565.00,422.00,241.00,142.00,167.00,110.00,34.00,APPROVED
AR: FORT SMITH,01/03/2015 01:27:00,,2425.00,1576.00,427.00,241.00,142.00,167.00,109.00,35.00,APPROVED
AR: FORT SMITH,01/03/2015 02:27:00,,2591.00,1721.00,463.00,272.00,153.00,182.00,114.00,37.00,APPROVED
AR: FORT SMITH,01/03/2015 03:27:00,,2570.00,1714.00,457.00,271.00,149.00,183.00,114.00,37.00,APPROVED
AR: FORT SMITH,01/03/2015 04:27:00,,2466.00,1632.00,437.00,254.00,149.00,178.00,110.00,36.00,APPROVED
AR: FORT SMITH,01/03/2015 05:27:00,,2451.00,1615.00,428.00,248.00,144.00,169.00,108.00,33.00,APPROVED
AR: FORT SMITH,01/03/2015 06:28:00,,2515.00,1667.00,445.00,251.00,146.00,172.00,112.00,36.00,APPROVED
AR: FORT SMITH,01/03/2015 07:28:00,,2550.00,1679.00,449.00,257.00,147.00,178.00,116.00,37.00,APPROVED
AR: FORT SMITH,01/03/2015 08:28:00,,2573.00,1704.00,455.00,264.00,151.00,182.00,113.00,35.00,APPROVED
AR: FORT SMITH,01/03/2015 09:28:00,,2648.00,1773.00,468.00,274.00,155.00,186.00,117.00,38.00,APPROVED
AR: FORT SMITH,01/03/2015 10:28:00,,2697.00,1818.00,478.00,281.00,157.00,190.00,121.00,37.00,APPROVED
AR: FORT SMITH,01/03/2015 11:29:00,,2863.00,1970.00,505.00,305.00,168.00,203.00,123.00,39.00,APPROVED
AR: FORT SMITH,01/03/2015 12:29:00,,2640.00,1779.00,478.00,282.00,157.00,192.00,117.00,39.00,APPROVED
AR: FORT SMITH,01/03/2015 13:29:00,,2394.00,1574.00,428.00,248.00,144.00,172.00,109.00,34.00,APPROVED
AR: FORT SMITH,01/03/2015 14:29:00,,2390.00,1580.00,431.00,250.00,144.00,171.00,108.00,35.00,APPROVED
AR: FORT SMITH,01/03/2015 15:29:00,,2545.00,1710.00,457.00,273.00,154.00,187.00,117.00,37.00,APPROVED
AR: FORT SMITH,01/03/2015 16:30:00,,2474.00,1651.00,449.00,266.00,153.00,180.00,112.00,35.00,APPROVED
AR: FORT SMITH,01/03/2015 17:30:00,,2396.00,1558.00,427.00,243.00,148.00,172.00,106.00,35.00,APPROVED
AR: FORT SMITH,01/03/2015 18:30:00,,2357.00,1532.00,418.00,233.00,138.00,165.00,106.00,33.00,APPROVED
AR: FORT SMITH,01/03/2015 19:30:00,,2298.00,1469.00,405.00,219.00,137.00,159.00,99.00,31.00,APPROVED
AR: FORT SMITH,01/03/2015 20:31:00,,2268.00,1440.00,397.00,212.00,131.00,157.00,97.00,33.00,APPROVED
AR: FORT SMITH,01/03/2015 21:31:00,,2259.00,1436.00,402.00,214.00,135.00,159.00,97.00,30.00,APPROVED
AR: FORT SMITH,01/03/2015 22:31:00,,2275.00,1465.00,403.00,217.00,136.00,159.00,100.00,31.00,APPROVED
AR: FORT SMITH,01/03/2015 23:31:00,,2267.00,1427.00,393.00,213.00,133.00,157.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/04/2015 00:31:00,,2272.00,1433.00,390.00,211.00,131.00,153.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/04/2015 01:32:00,,2278.00,1438.00,392.00,207.00,132.00,150.00,98.00,33.00,APPROVED
AR: FORT SMITH,01/04/2015 02:32:00,,2261.00,1427.00,391.00,208.00,131.00,152.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/04/2015 03:32:00,,2268.00,1421.00,390.00,210.00,133.00,149.00,97.00,30.00,APPROVED
AR: FORT SMITH,01/04/2015 04:32:00,,2262.00,1433.00,392.00,210.00,132.00,149.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/04/2015 05:32:00,,2273.00,1429.00,387.00,208.00,133.00,150.00,96.00,33.00,APPROVED
AR: FORT SMITH,01/04/2015 06:33:00,,2295.00,1443.00,387.00,215.00,131.00,150.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/04/2015 07:33:00,,2334.00,1489.00,398.00,220.00,135.00,156.00,102.00,32.00,APPROVED
AR: FORT SMITH,01/04/2015 08:33:00,,2396.00,1565.00,418.00,238.00,140.00,166.00,107.00,35.00,APPROVED
AR: FORT SMITH,01/04/2015 09:33:00,,2413.00,1577.00,425.00,247.00,143.00,166.00,109.00,34.00,APPROVED
AR: FORT SMITH,01/04/2015 10:33:00,,2445.00,1625.00,430.00,254.00,144.00,176.00,110.00,36.00,APPROVED
AR: FORT SMITH,01/04/2015 11:34:00,,2532.00,1726.00,454.00,281.00,154.00,184.00,118.00,37.00,APPROVED
AR: FORT SMITH,01/04/2015 12:34:00,,2494.00,1697.00,444.00,281.00,154.00,185.00,118.00,37.00,APPROVED
AR: FORT SMITH,01/04/2015 13:34:00,,2420.00,1618.00,426.00,265.00,146.00,174.00,115.00,36.00,APPROVED
AR: FORT SMITH,01/04/2015 14:34:00,,2358.00,1560.00,409.00,247.00,142.00,164.00,108.00,35.00,APPROVED
AR: FORT SMITH,01/04/2015 15:34:00,,2320.00,1514.00,403.00,236.00,140.00,156.00,106.00,34.00,APPROVED
AR: FORT SMITH,01/04/2015 16:35:00,,2318.00,1495.00,393.00,226.00,137.00,153.00,103.00,34.00,APPROVED
AR: FORT SMITH,01/04/2015 17:35:00,,2302.00,1481.00,392.00,221.00,134.00,152.00,102.00,33.00,APPROVED
AR: FORT SMITH,01/04/2015 18:35:00,,2297.00,1458.00,391.00,218.00,129.00,150.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/04/2015 19:35:00,,2265.00,1444.00,392.00,215.00,131.00,152.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/04/2015 20:35:00,,2259.00,1443.00,386.00,215.00,130.00,151.00,99.00,31.00,APPROVED
AR: FORT SMITH,01/04/2015 21:36:00,,2230.00,1410.00,384.00,208.00,126.00,148.00,99.00,31.00,APPROVED
AR: FORT SMITH,01/04/2015 22:36:00,,2196.00,1369.00,376.00,203.00,129.00,144.00,96.00,31.00,APPROVED
AR: FORT SMITH,01/04/2015 23:36:00,,2195.00,1374.00,375.00,199.00,124.00,143.00,96.00,31.00,APPROVED
AR: FORT SMITH,01/05/2015 00:36:00,,2209.00,1377.00,369.00,198.00,125.00,140.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 01:36:00,,2206.00,1382.00,369.00,198.00,124.00,141.00,97.00,29.00,APPROVED
AR: FORT SMITH,01/05/2015 02:37:00,,2225.00,1378.00,367.00,199.00,121.00,138.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/05/2015 03:37:00,,2209.00,1393.00,372.00,196.00,123.00,140.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/05/2015 04:37:00,,2210.00,1387.00,371.00,199.00,128.00,141.00,96.00,30.00,APPROVED
AR: FORT SMITH,01/05/2015 05:37:00,,2227.00,1395.00,368.00,197.00,126.00,142.00,96.00,30.00,APPROVED
AR: FORT SMITH,01/05/2015 06:37:00,,2237.00,1405.00,377.00,203.00,128.00,143.00,99.00,31.00,APPROVED
AR: FORT SMITH,01/05/2015 07:38:00,,2235.00,1401.00,372.00,200.00,128.00,143.00,98.00,30.00,APPROVED
AR: FORT SMITH,01/05/2015 08:38:00,,2221.00,1402.00,374.00,200.00,126.00,142.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 09:38:00,,2230.00,1406.00,377.00,207.00,128.00,145.00,97.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 10:38:00,,2238.00,1407.00,373.00,204.00,131.00,143.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/05/2015 11:39:00,,2240.00,1415.00,371.00,206.00,129.00,146.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 12:39:00,,2242.00,1415.00,382.00,206.00,130.00,142.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 13:39:00,,2257.00,1424.00,383.00,207.00,130.00,148.00,97.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 14:39:00,,2258.00,1429.00,374.00,206.00,128.00,146.00,100.00,31.00,APPROVED
AR: FORT SMITH,01/05/2015 15:39:00,,2257.00,1415.00,378.00,206.00,129.00,145.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 16:40:00,,2218.00,1394.00,374.00,204.00,127.00,143.00,97.00,33.00,APPROVED
AR: FORT SMITH,01/05/2015 17:40:00,,2209.00,1382.00,375.00,201.00,128.00,141.00,97.00,30.00,APPROVED
AR: FORT SMITH,01/05/2015 18:40:00,,2198.00,1376.00,372.00,196.00,126.00,140.00,93.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 19:40:00,,2185.00,1360.00,374.00,196.00,123.00,140.00,93.00,32.00,APPROVED
AR: FORT SMITH,01/05/2015 20:40:00,,2165.00,1355.00,372.00,193.00,125.00,139.00,95.00,30.00,APPROVED
AR: FORT SMITH,01/05/2015 21:41:00,,2152.00,1346.00,369.00,193.00,126.00,139.00,95.00,30.00,APPROVED
AR: FORT SMITH,01/05/2015 22:41:00,,2164.00,1334.00,372.00,191.00,121.00,141.00,93.00,31.00,APPROVED
AR: FORT SMITH,01/05/2015 23:41:00,,2176.00,1346.00,370.00,195.00,128.00,139.00,94.00,31.00,APPROVED
AR: FORT SMITH,01/06/2015 00:41:00,,2208.00,1371.00,371.00,198.00,126.00,143.00,93.00,32.00,APPROVED
AR: FORT SMITH,01/06/2015 01:41:00,,2209.00,1372.00,371.00,195.00,128.00,140.00,97.00,32.00,APPROVED
AR: FORT SMITH,01/06/2015 02:42:00,,2224.00,1372.00,373.00,200.00,126.00,141.00,96.00,29.00,APPROVED
AR: FORT SMITH,01/06/2015 03:42:00,,2220.00,1373.00,372.00,195.00,125.00,140.00,95.00,31.00,APPROVED
AR: FORT SMITH,01/06/2015 04:42:00,,2223.00,1378.00,370.00,194.00,126.00,141.00,95.00,31.00,APPROVED
AR: FORT SMITH,01/06/2015 05:42:00,,2215.00,1377.00,371.00,193.00,125.00,140.00,95.00,31.00,APPROVED
AR: FORT SMITH,01/06/2015 06:42:00,,2220.00,1380.00,369.00,196.00,127.00,143.00,96.00,30.00,APPROVED
AR: FORT SMITH,01/06/2015 07:43:00,,2227.00,1389.00,372.00,202.00,127.00,141.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/06/2015 08:43:00,,2228.00,1401.00,376.00,201.00,129.00,145.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/06/2015 09:43:00,,2258.00,1405.00,374.00,203.00,129.00,145.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/06/2015 10:43:00,,2257.00,1421.00,379.00,208.00,129.00,147.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/06/2015 11:43:00,,2266.00,1432.00,383.00,210.00,129.00,148.00,101.00,30.00,APPROVED
AR: FORT SMITH,01/06/2015 12:44:00,,2276.00,1449.00,383.00,212.00,129.00,148.00,101.00,33.00,APPROVED
AR: FORT SMITH,01/06/2015 13:44:00,,2270.00,1453.00,385.00,212.00,133.00,146.00,101.00,33.00,APPROVED
AR: FORT SMITH,01/06/2015 14:44:00,,2273.00,1451.00,387.00,218.00,130.00,149.00,103.00,32.00,APPROVED
AR: FORT SMITH,01/06/2015 15:44:00,,2245.00,1428.00,384.00,211.00,131.00,146.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/06/2015 16:45:00,,2227.00,1392.00,381.00,203.00,131.00,146.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/06/2015 17:45:00,,2224.00,1390.00,380.00,199.00,128.00,147.00,94.00,30.00,APPROVED
AR: FORT SMITH,01/06/2015 18:45:00,,2196.00,1383.00,386.00,203.00,128.00,150.00,93.00,30.00,APPROVED
AR: FORT SMITH,01/06/2015 19:45:00,,2181.00,1380.00,383.00,207.00,132.00,147.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/06/2015 20:45:00,,2123.00,1370.00,383.00,213.00,133.00,151.00,102.00,33.00,APPROVED
AR: FORT SMITH,01/06/2015 21:46:00,,2058.00,1347.00,378.00,214.00,134.00,150.00,103.00,34.00,APPROVED
AR: FORT SMITH,01/06/2015 22:46:00,,2043.00,1345.00,376.00,216.00,131.00,152.00,103.00,35.00,APPROVED
AR: FORT SMITH,01/06/2015 23:46:00,,2116.00,1402.00,387.00,227.00,132.00,157.00,107.00,35.00,APPROVED
AR: FORT SMITH,01/07/2015 00:46:00,,2254.00,1471.00,393.00,229.00,137.00,157.00,105.00,32.00,APPROVED
AR: FORT SMITH,01/07/2015 01:46:00,,2294.00,1465.00,402.00,222.00,137.00,159.00,100.00,34.00,APPROVED
AR: FORT SMITH,01/07/2015 02:47:00,,2325.00,1488.00,406.00,226.00,134.00,158.00,103.00,34.00,APPROVED
AR: FORT SMITH,01/07/2015 03:47:00,,2337.00,1511.00,405.00,226.00,135.00,158.00,103.00,32.00,APPROVED
AR: FORT SMITH,01/07/2015 04:47:00,,2334.00,1503.00,403.00,231.00,137.00,157.00,105.00,33.00,APPROVED
AR: FORT SMITH,01/07/2015 05:47:00,,2351.00,1520.00,405.00,230.00,137.00,155.00,104.00,33.00,APPROVED
AR: FORT SMITH,01/07/2015 06:47:00,,2360.00,1526.00,406.00,235.00,138.00,160.00,103.00,34.00,APPROVED
AR: FORT SMITH,01/07/2015 07:48:00,,2390.00,1571.00,415.00,242.00,141.00,162.00,108.00,35.00,APPROVED
AR: FORT SMITH,01/07/2015 08:48:00,,2413.00,1578.00,418.00,243.00,141.00,163.00,111.00,35.00,APPROVED
AR: FORT SMITH,01/07/2015 09:48:00,,2414.00,1579.00,421.00,247.00,142.00,168.00,108.00,36.00,APPROVED
AR: FORT SMITH,01/07/2015 10:48:00,,2396.00,1580.00,421.00,244.00,139.00,169.00,108.00,35.00,APPROVED
AR: FORT SMITH,01/07/2015 11:48:00,,2352.00,1528.00,405.00,234.00,136.00,162.00,107.00,34.00,APPROVED
AR: FORT SMITH,01/07/2015 12:49:00,,2315.00,1492.00,393.00,225.00,136.00,152.00,104.00,32.00,APPROVED
AR: FORT SMITH,01/07/2015 13:49:00,,2300.00,1462.00,393.00,219.00,134.00,151.00,102.00,31.00,APPROVED
AR: FORT SMITH,01/07/2015 14:49:00,,2284.00,1454.00,390.00,219.00,135.00,149.00,101.00,32.00,APPROVED
AR: FORT SMITH,01/07/2015 15:49:00,,2257.00,1446.00,383.00,214.00,131.00,149.00,100.00,31.00,APPROVED
AR: FORT SMITH,01/07/2015 16:49:00,,2259.00,1431.00,382.00,214.00,132.00,146.00,101.00,33.00,APPROVED
AR: FORT SMITH,01/07/2015 17:50:00,,2267.00,1448.00,385.00,211.00,130.00,147.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/07/2015 18:50:00,,2278.00,1437.00,388.00,213.00,131.00,149.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/07/2015 20:01:00,,2233.00,1381.00,368.00,195.00,123.00,138.00,96.00,30.00,APPROVED
AR: FORT SMITH,01/07/2015 21:02:00,,2218.00,1401.00,371.00,202.00,127.00,142.00,96.00,31.00,APPROVED
AR: FORT SMITH,01/07/2015 22:02:00,,2207.00,1380.00,370.00,199.00,128.00,140.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/07/2015 23:02:00,,2199.00,1372.00,366.00,196.00,126.00,140.00,97.00,30.00,APPROVED
AR: FORT SMITH,01/08/2015 00:02:00,,2198.00,1376.00,366.00,199.00,126.00,140.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 01:02:00,,2216.00,1381.00,370.00,199.00,125.00,140.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/08/2015 02:03:00,,2215.00,1384.00,365.00,201.00,128.00,140.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/08/2015 03:03:00,,2225.00,1394.00,368.00,202.00,126.00,140.00,100.00,31.00,APPROVED
AR: FORT SMITH,01/08/2015 04:03:00,,2232.00,1397.00,369.00,196.00,125.00,139.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 05:03:00,,2228.00,1403.00,372.00,201.00,127.00,141.00,97.00,30.00,APPROVED
AR: FORT SMITH,01/08/2015 06:03:00,,2233.00,1401.00,377.00,206.00,128.00,144.00,95.00,30.00,APPROVED
AR: FORT SMITH,01/08/2015 07:04:00,,2240.00,1406.00,375.00,204.00,128.00,139.00,100.00,31.00,APPROVED
AR: FORT SMITH,01/08/2015 08:04:00,,2226.00,1412.00,373.00,209.00,127.00,144.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 09:04:00,,2237.00,1418.00,371.00,209.00,129.00,146.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 10:04:00,,2255.00,1433.00,378.00,209.00,130.00,144.00,102.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 11:04:00,,2255.00,1437.00,378.00,213.00,128.00,146.00,101.00,33.00,APPROVED
AR: FORT SMITH,01/08/2015 12:05:00,,2237.00,1436.00,382.00,212.00,130.00,144.00,99.00,33.00,APPROVED
AR: FORT SMITH,01/08/2015 13:05:00,,2250.00,1426.00,377.00,209.00,129.00,145.00,98.00,33.00,APPROVED
AR: FORT SMITH,01/08/2015 14:05:00,,2250.00,1427.00,381.00,211.00,129.00,147.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 15:05:00,,2256.00,1446.00,378.00,211.00,131.00,148.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 16:05:00,,2254.00,1439.00,376.00,212.00,127.00,147.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 17:06:00,,2244.00,1427.00,375.00,208.00,130.00,149.00,98.00,32.00,APPROVED
AR: FORT SMITH,01/08/2015 18:06:00,,2234.00,1411.00,377.00,208.00,129.00,145.00,100.00,30.00,APPROVED
AR: FORT SMITH,01/08/2015 19:06:00,,2230.00,1403.00,374.00,203.00,127.00,142.00,98.00,30.00,APPROVED
AR: FORT SMITH,01/08/2015 20:06:00,,2223.00,1387.00,367.00,203.00,129.00,144.00,97.00,31.00,APPROVED
AR: FORT SMITH,01/08/2015 23:07:00,,2193.00,1376.00,373.00,198.00,126.00,141.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 00:07:00,,2212.00,1373.00,373.00,197.00,129.00,141.00,91.00,29.00,APPROVED
AR: FORT SMITH,01/09/2015 01:07:00,,2215.00,1370.00,371.00,197.00,125.00,141.00,96.00,30.00,APPROVED
AR: FORT SMITH,01/09/2015 02:08:00,,2220.00,1390.00,371.00,200.00,128.00,139.00,98.00,31.00,APPROVED
AR: FORT SMITH,01/09/2015 03:08:00,,2223.00,1400.00,369.00,199.00,125.00,141.00,96.00,30.00,APPROVED
AR: FORT SMITH,01/09/2015 04:08:00,,2239.00,1406.00,374.00,203.00,128.00,145.00,98.00,31.00,APPROVED
AR: FORT SMITH,01/09/2015 05:08:00,,2249.00,1403.00,377.00,203.00,128.00,143.00,99.00,31.00,APPROVED
AR: FORT SMITH,01/09/2015 06:08:00,,2260.00,1404.00,375.00,205.00,129.00,143.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 07:09:00,,2249.00,1442.00,377.00,210.00,131.00,147.00,100.00,33.00,APPROVED
AR: FORT SMITH,01/09/2015 08:09:00,,2292.00,1458.00,386.00,218.00,129.00,147.00,100.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 09:09:00,,2308.00,1479.00,392.00,222.00,137.00,152.00,103.00,33.00,APPROVED
AR: FORT SMITH,01/09/2015 10:09:00,,2312.00,1497.00,396.00,224.00,135.00,154.00,102.00,34.00,APPROVED
AR: FORT SMITH,01/09/2015 11:09:00,,2340.00,1518.00,398.00,229.00,137.00,156.00,103.00,33.00,APPROVED
AR: FORT SMITH,01/09/2015 12:10:00,,2361.00,1519.00,408.00,232.00,137.00,157.00,104.00,33.00,APPROVED
AR: FORT SMITH,01/09/2015 13:10:00,,2320.00,1488.00,396.00,226.00,137.00,157.00,104.00,34.00,APPROVED
AR: FORT SMITH,01/09/2015 14:10:00,,2251.00,1437.00,382.00,211.00,133.00,151.00,101.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 15:10:00,,2231.00,1407.00,379.00,204.00,126.00,146.00,99.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 16:10:00,,2226.00,1395.00,378.00,204.00,127.00,143.00,96.00,31.00,APPROVED
AR: FORT SMITH,01/09/2015 17:11:00,,2217.00,1385.00,372.00,196.00,126.00,143.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 18:11:00,,2196.00,1379.00,376.00,201.00,129.00,145.00,95.00,30.00,APPROVED
AR: FORT SMITH,01/09/2015 19:11:00,,2203.00,1385.00,377.00,204.00,129.00,145.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 20:11:00,,2195.00,1382.00,379.00,203.00,131.00,144.00,96.00,31.00,APPROVED
AR: FORT SMITH,01/09/2015 21:12:00,,2206.00,1385.00,376.00,203.00,128.00,144.00,96.00,32.00,APPROVED
AR: FORT SMITH,01/09/2015 22:12:00,,2201.00,1381.00,375.00,201.00,130.00,145.00,96.00,31.00,APPROVED
